,block_height,parent_hash,block_hash,transaction_hash,from_account_identifier,to_account_identifier,transfer_type,amount,fee,memo,created_at
39,4401419,5f02ff3a3dd5d1767795de8119c195d767c08a3fb74864071bb1177dfda361d3,82480ff8d219e3fb3b45e32d1d13f27c32f6d3a8b43091a5d47c8a4302dc84f3,cd7365c2f9bf416525bb5e5461a908246ddbabe2e3105961b1e2d7136f6dd460,88d962bcb90c03675918f4a2609648e092274df657c6a9444308549aa541819d,4d22aa93b87ae10aa84326952e8aad609df6675fcfcdaee1b00271c8f1612177,send,1143990000,10000,4571,1661834877
40,4401418,c7681a94b43ed435dbf59446e0b5f1ca047073740a42b067964a6c41b7e0373f,5f02ff3a3dd5d1767795de8119c195d767c08a3fb74864071bb1177dfda361d3,f8696bea693af695ff9162408ca2033c3099b60c8ca959167a2029dae6522a49,88d962bcb90c03675918f4a2609648e092274df657c6a9444308549aa541819d,373a2fd680992a93a9b9610b8d549f5485396f6c6350eaeac59acb6f6b5ecc6f,send,116990000,10000,4571,1661834870
41,4401417,8550ff36fd4c3a9ae8e6c0d6b64ba38379b7c7c31ba16f0993581bab5cf362e2,c7681a94b43ed435dbf59446e0b5f1ca047073740a42b067964a6c41b7e0373f,93beda26bf44ef82bad29e524b380b57563331187d16a49f807a2450a08c995e,e37370de5446dd51858f139b95083ac20364bbbe1e76d5b4cb1d2f530664434f,54be8bf5324414a80d11ea7b7bd9a051c01f13be68096b14992e3fe1418adae2,send,2000000000,10000,0,1661834841
42,4401416,ebf0a80d7ee0fc4685a475450699bfe69c941f4fdbdacd42369cd79fc5591de2,8550ff36fd4c3a9ae8e6c0d6b64ba38379b7c7c31ba16f0993581bab5cf362e2,60d11aeb8e5b9dba9716a5ae80adce6857e60e6f6bd28ad882ad1c98339ccd5d,e5c4f8163c543ae03111d7c7cb3942e0fbf171679a9f1c4945675d11bf7068ab,88d962bcb90c03675918f4a2609648e092274df657c6a9444308549aa541819d,send,1300000000,10000,4571,1661834838
43,4401415,0511b0dcccbc7b3e9c2c419d1d1470e66541c7d45338ab5551c518987347ac2d,ebf0a80d7ee0fc4685a475450699bfe69c941f4fdbdacd42369cd79fc5591de2,cbd00cee3b9e651ee7edd952f2d543c6459ddb68e19acdff9d9032de35e9aabb,eed1ac70c76e25dc4e677b05167aa02c8d16f9d9b32c41d9a87cc34cb8c5073d,05d84a79892b1cda8486e6d708b7deec67b323aaf9c5b91c6f2901b2cf8159e2,send,1320000000,10000,0,1661834824
44,4401414,9943adc92259acd7a7b179aeae64ee318343883cee9d21363c1e452799ebb06c,0511b0dcccbc7b3e9c2c419d1d1470e66541c7d45338ab5551c518987347ac2d,6142afbccfc8be1c62b1b8a20ca5c13d76c519ba6c1668296e7ad51a121ba103,88d962bcb90c03675918f4a2609648e092274df657c6a9444308549aa541819d,5780292b94594bfc2314f29a81bef85eed2938d89d9b825a4f0f07a8a88609bc,send,29990000,10000,4665,1661834795
45,4401413,a894c8d70575f10f830721e304f8dfea7ddfc5ebbaa7cf59b80f59bbc73e4840,9943adc92259acd7a7b179aeae64ee318343883cee9d21363c1e452799ebb06c,5172d89f40a4379c18d488663c78a22b679fd57328f9ac4326198f16e4efc574,88d962bcb90c03675918f4a2609648e092274df657c6a9444308549aa541819d,7fb01a5e86b5919923ab518656c85e361d878e7395b32f7f05a66b5b94ae8cf3,send,879990000,10000,4665,1661834789
46,4401412,f1eb58a65e40508704f27fbb617aaf295e7e77218891c6bacc32f49389950fca,a894c8d70575f10f830721e304f8dfea7ddfc5ebbaa7cf59b80f59bbc73e4840,71a9ba074a7e0f571248067a1445ec617edf1a02b2fccaf8a583a1e666de1d80,4dfa940def17f1427ae47378c440f10185867677109a02bc8374fc25b9dee8af,674f76be2f2cc7478cd3582fc87d9d043b089d2098c867de7e154a7d89fcc38e,send,13932700000,10000,561753676216970050,1661834785
47,4401411,fdae1174fd03dc021ed90dea22a860d7cd2a5273c85f0bdaa5ca8348659ebade,f1eb58a65e40508704f27fbb617aaf295e7e77218891c6bacc32f49389950fca,c8051d501e6153588ad08991658016c65ead2c5d72cb1503d33418916677afca,88d962bcb90c03675918f4a2609648e092274df657c6a9444308549aa541819d,373a2fd680992a93a9b9610b8d549f5485396f6c6350eaeac59acb6f6b5ecc6f,send,89990000,10000,4665,1661834781
48,4401410,46df6b598c2b96944585d90feeb4bec424c0537ca4009366363ae472ed506567,fdae1174fd03dc021ed90dea22a860d7cd2a5273c85f0bdaa5ca8348659ebade,7034278a93ce24ac576a27daaa8c73ab513b788f5838a186591f6349d53e0637,e994ad0378bb902896b55dd5a69a72e7fb2762bba50b32f66f77d2d99d07ac94,eed1ac70c76e25dc4e677b05167aa02c8d16f9d9b32c41d9a87cc34cb8c5073d,send,1323628748,10000,1362,1661834778
